user_id,date,total_steps,calories,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,active_min,total_minutes_asleep,total_time_in_bed,sleep_efficiency,weekday,is_weekend,steps_bin
1503960366,2016-03-25T00:00:00Z,11004,1819,33,12,205,804,250,NA,NA,NA,Fri,FALSE,10–12.5k
1503960366,2016-03-26T00:00:00Z,17609,2154,89,17,274,588,380,NA,NA,NA,Sat,TRUE,≥12.5k
1503960366,2016-03-27T00:00:00Z,12736,1944,56,5,268,605,329,NA,NA,NA,Sun,TRUE,≥12.5k
1503960366,2016-03-28T00:00:00Z,13231,1932,39,20,224,1080,283,NA,NA,NA,Mon,FALSE,≥12.5k
1503960366,2016-03-29T00:00:00Z,12041,1886,28,28,243,763,299,NA,NA,NA,Tue,FALSE,10–12.5k
1503960366,2016-03-30T00:00:00Z,10970,1820,30,13,223,1174,266,NA,NA,NA,Wed,FALSE,10–12.5k
1503960366,2016-03-31T00:00:00Z,12256,1889,33,12,239,820,284,NA,NA,NA,Thu,FALSE,10–12.5k
1503960366,2016-04-01T00:00:00Z,12262,1868,47,21,200,866,268,NA,NA,NA,Fri,FALSE,10–12.5k
1503960366,2016-04-02T00:00:00Z,11248,1843,40,11,244,636,295,NA,NA,NA,Sat,TRUE,10–12.5k
1503960366,2016-04-03T00:00:00Z,10016,1850,15,30,314,655,359,NA,NA,NA,Sun,TRUE,10–12.5k
1503960366,2016-04-04T00:00:00Z,14557,2030,43,18,285,757,346,NA,NA,NA,Mon,FALSE,≥12.5k
1503960366,2016-04-05T00:00:00Z,14844,2083,36,18,341,736,395,NA,NA,NA,Tue,FALSE,≥12.5k
1503960366,2016-04-06T00:00:00Z,11974,1861,27,12,228,1173,267,NA,NA,NA,Wed,FALSE,10–12.5k
1503960366,2016-04-07T00:00:00Z,10198,1755,17,20,195,1208,232,NA,NA,NA,Thu,FALSE,10–12.5k
1503960366,2016-04-08T00:00:00Z,12521,1895,46,22,212,1160,280,NA,NA,NA,Fri,FALSE,≥12.5k
1503960366,2016-04-09T00:00:00Z,12432,1883,32,15,248,738,295,NA,NA,NA,Sat,TRUE,10–12.5k
1503960366,2016-04-10T00:00:00Z,10057,1755,44,13,168,737,225,NA,NA,NA,Sun,TRUE,10–12.5k
1503960366,2016-04-11T00:00:00Z,10990,1811,26,14,216,855,256,NA,NA,NA,Mon,FALSE,10–12.5k
1503960366,2016-04-12T00:00:00Z,224,50,0,0,9,32,9,327,346,0.9450867052023122,Tue,FALSE,<5k
1624580081,2016-03-25T00:00:00Z,1810,1373,0,0,121,1319,121,NA,NA,NA,Fri,FALSE,<5k
1624580081,2016-03-26T00:00:00Z,815,1264,0,0,47,1393,47,NA,NA,NA,Sat,TRUE,<5k
1624580081,2016-03-27T00:00:00Z,1985,1350,0,0,112,1328,112,NA,NA,NA,Sun,TRUE,<5k
1624580081,2016-03-28T00:00:00Z,1905,1342,0,0,95,1345,95,NA,NA,NA,Mon,FALSE,<5k
1624580081,2016-03-29T00:00:00Z,1552,1300,0,0,66,1374,66,NA,NA,NA,Tue,FALSE,<5k
1624580081,2016-03-30T00:00:00Z,1675,1313,0,0,84,1356,84,NA,NA,NA,Wed,FALSE,<5k
1624580081,2016-03-31T00:00:00Z,4506,1498,7,4,144,1285,155,NA,NA,NA,Thu,FALSE,<5k
1624580081,2016-04-01T00:00:00Z,9218,1541,0,0,221,1219,221,NA,NA,NA,Fri,FALSE,7.5–10k
1624580081,2016-04-02T00:00:00Z,1556,1327,0,0,88,1352,88,NA,NA,NA,Sat,TRUE,<5k
1624580081,2016-04-03T00:00:00Z,2910,1452,0,0,157,1283,157,NA,NA,NA,Sun,TRUE,<5k
1624580081,2016-04-04T00:00:00Z,18464,1574,0,0,270,1170,270,NA,NA,NA,Mon,FALSE,≥12.5k
1624580081,2016-04-05T00:00:00Z,1335,1308,0,0,74,1366,74,NA,NA,NA,Tue,FALSE,<5k
1624580081,2016-04-06T00:00:00Z,1004,1276,0,0,55,1385,55,NA,NA,NA,Wed,FALSE,<5k
1624580081,2016-04-07T00:00:00Z,1111,1278,0,0,54,1386,54,NA,NA,NA,Thu,FALSE,<5k
1624580081,2016-04-08T00:00:00Z,6344,1409,0,0,143,1297,143,NA,NA,NA,Fri,FALSE,5–7.5k
1624580081,2016-04-09T00:00:00Z,3572,1370,0,0,122,1318,122,NA,NA,NA,Sat,TRUE,<5k
1624580081,2016-04-10T00:00:00Z,3910,1555,7,7,186,1240,200,NA,NA,NA,Sun,TRUE,<5k
1624580081,2016-04-11T00:00:00Z,10000,1469,0,0,172,1268,172,NA,NA,NA,Mon,FALSE,7.5–10k
1624580081,2016-04-12T00:00:00Z,6627,706,0,0,89,604,89,NA,NA,NA,Tue,FALSE,5–7.5k
1644430081,2016-04-01T00:00:00Z,4636,3323,0,16,586,838,602,NA,NA,NA,Fri,FALSE,<5k
1644430081,2016-04-02T00:00:00Z,20237,4029,34,141,347,918,522,NA,NA,NA,Sat,TRUE,≥12.5k
1644430081,2016-04-03T00:00:00Z,12912,3436,59,16,283,1082,358,NA,NA,NA,Sun,TRUE,≥12.5k
1644430081,2016-04-04T00:00:00Z,2819,2444,4,4,87,1345,95,NA,NA,NA,Mon,FALSE,<5k
1644430081,2016-04-05T00:00:00Z,9921,3098,5,35,219,1181,259,NA,NA,NA,Tue,FALSE,7.5–10k
1644430081,2016-04-06T00:00:00Z,8046,2925,18,41,137,1244,196,NA,NA,NA,Wed,FALSE,7.5–10k
1644430081,2016-04-07T00:00:00Z,11166,3202,3,58,230,1149,291,NA,NA,NA,Thu,FALSE,10–12.5k
1644430081,2016-04-08T00:00:00Z,7842,2928,7,43,161,1229,211,NA,NA,NA,Fri,FALSE,7.5–10k
1644430081,2016-04-09T00:00:00Z,13840,3290,18,81,192,1149,291,NA,NA,NA,Sat,TRUE,≥12.5k
1644430081,2016-04-10T00:00:00Z,1329,489,0,0,35,207,35,NA,NA,NA,Sun,TRUE,<5k
